hora,temperatura,umidade,pto_orvalho,pressao,radiacao,vento
14,31.0,58.0,21.8,954.5,3453.0,1.2
15,30.3,59.0,21.5,954.1,1597.0,0.1
16,NaN,61.0,20.6,953.6,1300.0,2.9
17,29.7,60.0,21.2,952.3,2570.0,3.9
18,25.9,70.0,19.9,952.1,1249.0,2.0
19,26.0,72.0,20.6,951.7,288.6,0.0
20,26.3,72.0,20.8,952.1,272.9,0.0
21,25.9,76.0,21.5,952.5,214.7,0.0
22,25.1,79.0,21.1,952.9,-3.24,0.0
23,24.3,83.0,21.3,953.9,-3.54,0.0
0,24.1,86.0,21.6,954.8,-3.49,1.5
1,24.5,85.0,21.8,955.3,-3.35,0.4
2,21.4,92.0,19.9,955.6,-3.29,0.7
3,21.3,92.0,19.9,955.0,-1.12,1.3
4,NaN,91.0,19.6,954.3,-1.99,1.6
5,21.3,95.0,20.3,953.7,-1.96,0.0
6,21.4,94.0,20.3,953.5,-2.51,0.1
7,21.3,94.0,20.3,953.6,-2.99,0.0
8,21.5,95.0,20.6,953.8,-3.11,0.0
9,21.8,94.0,20.7,954.3,102.7,0.0
10,23.3,90.0,21.6,954.7,437.0,0.0
